year,month,co2_concentration,ch4_concentration,co2e,decimal_year
2004,6,379.87,1.77224,424.176,2004.4166666666667
2004,7,377.65,1.76804,421.851,2004.5
2004,8,376.17,1.76982,420.4155,2004.5833333333333
2004,9,374.43,1.77553,418.81825000000003,2004.6666666666667
2004,10,374.63,1.77975,419.12375,2004.75
2004,11,376.33,1.78051,420.84274999999997,2004.8333333333333
2004,12,377.68,1.77826,422.1365,2004.9166666666667
2005,1,378.63,1.77614,423.0335,2005.0
2005,2,379.91,1.77574,424.30350000000004,2005.0833333333333
2005,3,380.95,1.77558,425.3395,2005.1666666666667
2005,4,382.48,1.7747899999999999,426.84975000000003,2005.25
2005,5,382.64,1.77251,426.95275,2005.3333333333333
2005,6,382.4,1.7687899999999999,426.61974999999995,2005.4166666666667
2005,7,380.93,1.76641,425.09025,2005.5
2005,8,378.93,1.76818,423.1345,2005.5833333333333
2005,9,376.89,1.77323,421.22075,2005.6666666666667
2005,10,377.19,1.77857,421.65425,2005.75
2005,11,378.54,1.78126,423.0715,2005.8333333333333
2005,12,380.31,1.78026,424.8165,2005.9166666666667
2006,1,381.58,1.77952,426.068,2006.0
2006,2,382.4,1.77947,426.88675,2006.0833333333333
2006,3,382.86,1.77739,427.29475,2006.1666666666667
2006,4,384.8,1.77612,429.20300000000003,2006.25
2006,5,385.22,1.77492,429.593,2006.3333333333333
2006,6,384.24,1.76922,428.4705,2006.4166666666667
2006,7,382.65,1.7641600000000002,426.75399999999996,2006.5
2006,8,380.6,1.76726,424.78150000000005,2006.5833333333333
2006,9,379.04,1.7745799999999998,423.4045,2006.6666666666667
2006,10,379.33,1.77823,423.78575,2006.75
2006,11,380.35,1.77904,424.826,2006.8333333333333
2006,12,382.02,1.7799200000000002,426.518,2006.9166666666667
2007,1,383.1,1.7792000000000001,427.58000000000004,2007.0
2007,2,384.12,1.7786,428.585,2007.0833333333333
2007,3,384.81,1.78024,429.31600000000003,2007.1666666666667
2007,4,386.73,1.7811199999999998,431.25800000000004,2007.25
2007,5,386.78,1.77949,431.26725,2007.3333333333333
2007,6,386.33,1.7755999999999998,430.71999999999997,2007.4166666666667
2007,7,384.73,1.7725899999999999,429.04475,2007.5
2007,8,382.24,1.77721,426.67025,2007.5833333333333
2007,9,381.2,1.78586,425.8465,2007.6666666666667
2007,10,381.37,1.7898399999999999,426.116,2007.75
2007,11,382.7,1.78954,427.4385,2007.8333333333333
2007,12,384.19,1.78819,428.89475,2007.9166666666667
2008,1,385.78,1.7867,430.4475,2008.0
2008,2,386.06,1.78581,430.70525,2008.0833333333333
